[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[-0.19999999  0.075       0.1525    ],[-0.20017408  0.07501394  0.33997852],[-0.34797937  0.08770741  0.44097203],[-0.52958065  0.10330236  0.56506723],[-0.65502995  0.10837531  0.69299209],[-0.81572217  0.04975628  0.84703845],[-0.84839457  0.11424384  0.92683393]
[-0.19999999  0.075       0.1525    ],[-0.20018923  0.07501923  0.33997524],[-0.35383838  0.08980393  0.43150944],[-0.54262435  0.10796896  0.54398894],[-0.68099964  0.11634415  0.6576103 ],[-0.85788691  0.06179964  0.79444402],[-0.89759851  0.12785523  0.86963063]
[-0.19999999  0.075       0.1525    ],[-0.20017491  0.07500213  0.33997917],[-0.34282583  0.07693245  0.44885743],[-0.51809424  0.07930294  0.58263713],[-0.64318419  0.07612287  0.71097338],[-0.79898196  0.00705922  0.86571383],[-0.8466273   0.06998411  0.93895173]
[-0.19999999  0.075       0.1525    ],[-0.20018296  0.0749925   0.33997709],[-0.34227842  0.06551994  0.44918114],[-0.51686811  0.05388123  0.58336323],[-0.66003269  0.04475142  0.69083774],[-0.83457702 -0.03164427  0.8200168 ],[-0.89785773  0.02894952  0.88260669]
[-0.19999999  0.075       0.1525    ],[-0.20020014  0.07498713  0.33997124],[-0.3583959   0.0610393   0.42353123],[-0.55277562  0.04390061  0.52621979],[-0.71389741  0.03114543  0.60373127],[-0.90937656 -0.0495928   0.69460911],[-0.97640926  0.00859276  0.75555545]
[-0.19999999  0.075       0.1525    ],[-0.20020443  0.07499049  0.33996958],[-0.36242926  0.06227994  0.41562161],[-0.56176233  0.04666195  0.50859785],[-0.72805136  0.0361053   0.57468617],[-0.930372   -0.04197102  0.65188837],[-0.99131399  0.01693441  0.71829313]
[-0.19999999  0.075       0.1525    ],[-0.20020349  0.07498577  0.33996886],[-0.36330223  0.0585768   0.41298077],[-0.56371081  0.03841403  0.50271457],[-0.73365599  0.02553292  0.55825579],[-0.94231188 -0.05430998  0.61375153],[-0.99450386 -0.00427417  0.69353664]
[-0.19999999  0.075       0.1525    ],[-0.20020555  0.07498654  0.33996868],[-0.36729491  0.06157994  0.40402013],[-0.57260859  0.04510509  0.48274913],[-0.73760873  0.02989221  0.55110383],[-0.94855541 -0.0456165   0.60396016],[-0.97780007 -0.02218712  0.70490062]
[-0.19999999  0.075       0.1525    ],[-0.20020197  0.07498363  0.33996856],[-0.36834642  0.06057096  0.40096927],[-0.57495666  0.04285918  0.47595128],[-0.74106526  0.02660804  0.54131871],[-0.9529416  -0.04956133  0.58929634],[-0.97328556 -0.03125725  0.69343221]
[-0.19999999  0.075       0.1525    ],[-0.20020775  0.0750173   0.33996668],[-0.37168732  0.08552361  0.39177743],[-0.58239961  0.09843235  0.45547181],[-0.7542963   0.10982452  0.50498539],[-0.97832918  0.06705792  0.53619868],[-1.00340414  0.09469926  0.63719493]
